orderid,orderdate,delta
10826,1998-01-12 00:00:00.0,3
10726,1997-11-03 00:00:00.0,3
10751,1997-11-24 00:00:00.0,3
10863,1998-02-02 00:00:00.0,3
10273,1996-08-05 00:00:00.0,3
10685,1997-09-29 00:00:00.0,3
10788,1997-12-22 00:00:00.0,3
10583,1997-06-30 00:00:00.0,3
10590,1997-07-07 00:00:00.0,3
10701,1997-10-13 00:00:00.0,3
10339,1996-10-28 00:00:00.0,3
10540,1997-05-19 00:00:00.0,3
10555,1997-06-02 00:00:00.0,3
11067,1998-05-04 00:00:00.0,3
10462,1997-03-03 00:00:00.0,3
10984,1998-03-30 00:00:00.0,3
10526,1997-05-05 00:00:00.0,3
10851,1998-01-26 00:00:00.0,3
10813,1998-01-05 00:00:00.0,3
10328,1996-10-14 00:00:00.0,3
10888,1998-02-16 00:00:00.0,3
10693,1997-10-06 00:00:00.0,3
10306,1996-09-16 00:00:00.0,3
10440,1997-02-10 00:00:00.0,3
10676,1997-09-22 00:00:00.0,3
10483,1997-03-24 00:00:00.0,3
10376,1996-12-09 00:00:00.0,3
10853,1998-01-27 00:00:00.0,1
10268,1996-07-30 00:00:00.0,1
10582,1997-06-27 00:00:00.0,1
10353,1996-11-13 00:00:00.0,1
10420,1997-01-21 00:00:00.0,1
10661,1997-09-09 00:00:00.0,1
10518,1997-04-25 00:00:00.0,1
10856,1998-01-28 00:00:00.0,1
10753,1997-11-25 00:00:00.0,1
10329,1996-10-15 00:00:00.0,1
10465,1997-03-05 00:00:00.0,1
10970,1998-03-24 00:00:00.0,1
10310,1996-09-20 00:00:00.0,1
10354,1996-11-14 00:00:00.0,1
10858,1998-01-29 00:00:00.0,1
10663,1997-09-10 00:00:00.0,1
10755,1997-11-26 00:00:00.0,1
10585,1997-07-01 00:00:00.0,1
10275,1996-08-07 00:00:00.0,1
10520,1997-04-29 00:00:00.0,1
10756,1997-11-27 00:00:00.0,1
10466,1997-03-06 00:00:00.0,1
10586,1997-07-02 00:00:00.0,1
10385,1996-12-17 00:00:00.0,1
10665,1997-09-11 00:00:00.0,1
10974,1998-03-25 00:00:00.0,1
10861,1998-01-30 00:00:00.0,1
10422,1997-01-22 00:00:00.0,1
10330,1996-10-16 00:00:00.0,1
10758,1997-11-28 00:00:00.0,1
10355,1996-11-15 00:00:00.0,1
10666,1997-09-12 00:00:00.0,1
10253,1996-07-10 00:00:00.0,1
10522,1997-04-30 00:00:00.0,1
10588,1997-07-03 00:00:00.0,1
10423,1997-01-23 00:00:00.0,1
10977,1998-03-26 00:00:00.0,1
10468,1997-03-07 00:00:00.0,1
10386,1996-12-18 00:00:00.0,1
10589,1997-07-04 00:00:00.0,1
10761,1997-12-02 00:00:00.0,1
10523,1997-05-01 00:00:00.0,1
10296,1996-09-03 00:00:00.0,1
10263,1996-07-23 00:00:00.0,1
10866,1998-02-03 00:00:00.0,1
10980,1998-03-27 00:00:00.0,1
10259,1996-07-18 00:00:00.0,1
10763,1997-12-03 00:00:00.0,1
10670,1997-09-16 00:00:00.0,1
10285,1996-08-20 00:00:00.0,1
10868,1998-02-04 00:00:00.0,1
10470,1997-03-11 00:00:00.0,1
10525,1997-05-02 00:00:00.0,1
10671,1997-09-17 00:00:00.0,1
10592,1997-07-08 00:00:00.0,1
10765,1997-12-04 00:00:00.0,1
10425,1997-01-24 00:00:00.0,1
10357,1996-11-19 00:00:00.0,1
10766,1997-12-05 00:00:00.0,1
10593,1997-07-09 00:00:00.0,1
10871,1998-02-05 00:00:00.0,1
10388,1996-12-19 00:00:00.0,1
10673,1997-09-18 00:00:00.0,1
10297,1996-09-04 00:00:00.0,1
10332,1996-10-17 00:00:00.0,1
10472,1997-03-12 00:00:00.0,1
10987,1998-03-31 00:00:00.0,1
10873,1998-02-06 00:00:00.0,1
10276,1996-08-08 00:00:00.0,1
10389,1996-12-20 00:00:00.0,1
10595,1997-07-10 00:00:00.0,1
10675,1997-09-19 00:00:00.0,1
10528,1997-05-06 00:00:00.0,1
10358,1996-11-20 00:00:00.0,1
10473,1997-03-13 00:00:00.0,1
10770,1997-12-09 00:00:00.0,1
10596,1997-07-11 00:00:00.0,1
10990,1998-04-01 00:00:00.0,1
10269,1996-07-31 00:00:00.0,1
10771,1997-12-10 00:00:00.0,1
10529,1997-05-07 00:00:00.0,1
10313,1996-09-24 00:00:00.0,1
10428,1997-01-28 00:00:00.0,1
10530,1997-05-08 00:00:00.0,1
10678,1997-09-23 00:00:00.0,1
10878,1998-02-10 00:00:00.0,1
10333,1996-10-18 00:00:00.0,1
10773,1997-12-11 00:00:00.0,1
10359,1996-11-21 00:00:00.0,1
11070,1998-05-05 00:00:00.0,1
10994,1998-04-02 00:00:00.0,1
10475,1997-03-14 00:00:00.0,1
10599,1997-07-15 00:00:00.0,1
10429,1997-01-29 00:00:00.0,1
10680,1997-09-24 00:00:00.0,1
10775,1997-12-12 00:00:00.0,1
10298,1996-09-05 00:00:00.0,1
10881,1998-02-11 00:00:00.0,1
10286,1996-08-21 00:00:00.0,1
10600,1997-07-16 00:00:00.0,1
10681,1997-09-25 00:00:00.0,1
10997,1998-04-03 00:00:00.0,1
10532,1997-05-09 00:00:00.0,1
10360,1996-11-22 00:00:00.0,1
10883,1998-02-12 00:00:00.0,1
10430,1997-01-30 00:00:00.0,1
10778,1997-12-16 00:00:00.0,1
10392,1996-12-24 00:00:00.0,1
10683,1997-09-26 00:00:00.0,1
10602,1997-07-17 00:00:00.0,1
10314,1996-09-25 00:00:00.0,1
10277,1996-08-09 00:00:00.0,1
10603,1997-07-18 00:00:00.0,1
10886,1998-02-13 00:00:00.0,1
10478,1997-03-18 00:00:00.0,1
10393,1996-12-25 00:00:00.0,1
10535,1997-05-13 00:00:00.0,1
10781,1997-12-17 00:00:00.0,1
10335,1996-10-22 00:00:00.0,1
10432,1997-01-31 00:00:00.0,1
10686,1997-09-30 00:00:00.0,1
10479,1997-03-19 00:00:00.0,1
11004,1998-04-07 00:00:00.0,1
10536,1997-05-14 00:00:00.0,1
10299,1996-09-06 00:00:00.0,1
10783,1997-12-18 00:00:00.0,1
10315,1996-09-26 00:00:00.0,1
10606,1997-07-22 00:00:00.0,1
10688,1997-10-01 00:00:00.0,1
10480,1997-03-20 00:00:00.0,1
10891,1998-02-17 00:00:00.0,1
11007,1998-04-08 00:00:00.0,1
10264,1996-07-24 00:00:00.0,1
10336,1996-10-23 00:00:00.0,1
10538,1997-05-15 00:00:00.0,1
10287,1996-08-22 00:00:00.0,1
10395,1996-12-26 00:00:00.0,1
10786,1997-12-19 00:00:00.0,1
10893,1998-02-18 00:00:00.0,1
10690,1997-10-02 00:00:00.0,1
10608,1997-07-23 00:00:00.0,1
10363,1996-11-26 00:00:00.0,1
10539,1997-05-16 00:00:00.0,1
11010,1998-04-09 00:00:00.0,1
10691,1997-10-03 00:00:00.0,1
10270,1996-08-01 00:00:00.0,1
10609,1997-07-24 00:00:00.0,1
10482,1997-03-21 00:00:00.0,1
10316,1996-09-27 00:00:00.0,1
10896,1998-02-19 00:00:00.0,1
10610,1997-07-25 00:00:00.0,1
10435,1997-02-04 00:00:00.0,1
10396,1996-12-27 00:00:00.0,1
10337,1996-10-24 00:00:00.0,1
11014,1998-04-10 00:00:00.0,1
10898,1998-02-20 00:00:00.0,1
10436,1997-02-05 00:00:00.0,1
10791,1997-12-23 00:00:00.0,1
10695,1997-10-07 00:00:00.0,1
10542,1997-05-20 00:00:00.0,1
10338,1996-10-25 00:00:00.0,1
10696,1997-10-08 00:00:00.0,1
10793,1997-12-24 00:00:00.0,1
10613,1997-07-29 00:00:00.0,1
10365,1996-11-27 00:00:00.0,1
10543,1997-05-21 00:00:00.0,1
10485,1997-03-25 00:00:00.0,1
10288,1996-08-23 00:00:00.0,1
10698,1997-10-09 00:00:00.0,1
10903,1998-02-24 00:00:00.0,1
10486,1997-03-26 00:00:00.0,1
11020,1998-04-14 00:00:00.0,1
10615,1997-07-30 00:00:00.0,1
10438,1997-02-06 00:00:00.0,1
10796,1997-12-25 00:00:00.0,1
10260,1996-07-19 00:00:00.0,1
10545,1997-05-22 00:00:00.0,1
10616,1997-07-31 00:00:00.0,1
10366,1996-11-28 00:00:00.0,1
10700,1997-10-10 00:00:00.0,1
10399,1996-12-31 00:00:00.0,1
10439,1997-02-07 00:00:00.0,1
10906,1998-02-25 00:00:00.0,1
10798,1997-12-26 00:00:00.0,1
10546,1997-05-23 00:00:00.0,1
11024,1998-04-15 00:00:00.0,1
10488,1997-03-27 00:00:00.0,1
10618,1997-08-01 00:00:00.0,1
10908,1998-02-26 00:00:00.0,1
10318,1996-10-01 00:00:00.0,1
10400,1997-01-01 00:00:00.0,1
10703,1997-10-14 00:00:00.0,1
10489,1997-03-28 00:00:00.0,1
11027,1998-04-16 00:00:00.0,1
10265,1996-07-25 00:00:00.0,1
10620,1997-08-05 00:00:00.0,1
10340,1996-10-29 00:00:00.0,1
10705,1997-10-15 00:00:00.0,1
10803,1997-12-30 00:00:00.0,1
10549,1997-05-27 00:00:00.0,1
10302,1996-09-10 00:00:00.0,1
10706,1997-10-16 00:00:00.0,1
11030,1998-04-17 00:00:00.0,1
10368,1996-11-29 00:00:00.0,1
10550,1997-05-28 00:00:00.0,1
10622,1997-08-06 00:00:00.0,1
10319,1996-10-02 00:00:00.0,1
10442,1997-02-11 00:00:00.0,1
10914,1998-02-27 00:00:00.0,1
10279,1996-08-13 00:00:00.0,1
10623,1997-08-07 00:00:00.0,1
10806,1997-12-31 00:00:00.0,1
10708,1997-10-17 00:00:00.0,1
10402,1997-01-02 00:00:00.0,1
10254,1996-07-11 00:00:00.0,1
10492,1997-04-01 00:00:00.0,1
10443,1997-02-12 00:00:00.0,1
10552,1997-05-29 00:00:00.0,1
10808,1998-01-01 00:00:00.0,1
10257,1996-07-16 00:00:00.0,1
10625,1997-08-08 00:00:00.0,1
10493,1997-04-02 00:00:00.0,1
10553,1997-05-30 00:00:00.0,1
10711,1997-10-21 00:00:00.0,1
10403,1997-01-03 00:00:00.0,1
11037,1998-04-21 00:00:00.0,1
10320,1996-10-03 00:00:00.0,1
10342,1996-10-30 00:00:00.0,1
10370,1996-12-03 00:00:00.0,1
10920,1998-03-03 00:00:00.0,1
10811,1998-01-02 00:00:00.0,1
10303,1996-09-11 00:00:00.0,1
10445,1997-02-13 00:00:00.0,1
10713,1997-10-22 00:00:00.0,1
10290,1996-08-27 00:00:00.0,1
10628,1997-08-12 00:00:00.0,1
11040,1998-04-22 00:00:00.0,1
10495,1997-04-03 00:00:00.0,1
10252,1996-07-09 00:00:00.0,1
10343,1996-10-31 00:00:00.0,1
10556,1997-06-03 00:00:00.0,1
10715,1997-10-23 00:00:00.0,1
10446,1997-02-14 00:00:00.0,1
10496,1997-04-04 00:00:00.0,1
10924,1998-03-04 00:00:00.0,1
10716,1997-10-24 00:00:00.0,1
10630,1997-08-13 00:00:00.0,1
10280,1996-08-14 00:00:00.0,1
10304,1996-09-12 00:00:00.0,1
10816,1998-01-06 00:00:00.0,1
11044,1998-04-23 00:00:00.0,1
10272,1996-08-02 00:00:00.0,1
10631,1997-08-14 00:00:00.0,1
10406,1997-01-07 00:00:00.0,1
10558,1997-06-04 00:00:00.0,1
10927,1998-03-05 00:00:00.0,1
10372,1996-12-04 00:00:00.0,1
10344,1996-11-01 00:00:00.0,1
10818,1998-01-07 00:00:00.0,1
10559,1997-06-05 00:00:00.0,1
11047,1998-04-24 00:00:00.0,1
10633,1997-08-15 00:00:00.0,1
10266,1996-07-26 00:00:00.0,1
10720,1997-10-28 00:00:00.0,1
10322,1996-10-04 00:00:00.0,1
10560,1997-06-06 00:00:00.0,1
10930,1998-03-06 00:00:00.0,1
10499,1997-04-08 00:00:00.0,1
10721,1997-10-29 00:00:00.0,1
10373,1996-12-05 00:00:00.0,1
10821,1998-01-08 00:00:00.0,1
10449,1997-02-18 00:00:00.0,1
10249,1996-07-05 00:00:00.0,1
10500,1997-04-09 00:00:00.0,1
10408,1997-01-08 00:00:00.0,1
10723,1997-10-30 00:00:00.0,1
10823,1998-01-09 00:00:00.0,1
10636,1997-08-19 00:00:00.0,1
10450,1997-02-19 00:00:00.0,1
10305,1996-09-13 00:00:00.0,1
11064,1998-05-01 00:00:00.0,1
10563,1997-06-10 00:00:00.0,1
11054,1998-04-28 00:00:00.0,1
10725,1997-10-31 00:00:00.0,1
10409,1997-01-09 00:00:00.0,1
10638,1997-08-20 00:00:00.0,1
10502,1997-04-10 00:00:00.0,1
10346,1996-11-05 00:00:00.0,1
10937,1998-03-10 00:00:00.0,1
10375,1996-12-06 00:00:00.0,1
11057,1998-04-29 00:00:00.0,1
10503,1997-04-11 00:00:00.0,1
10565,1997-06-11 00:00:00.0,1
10452,1997-02-20 00:00:00.0,1
10828,1998-01-13 00:00:00.0,1
10640,1997-08-21 00:00:00.0,1
10728,1997-11-04 00:00:00.0,1
10410,1997-01-10 00:00:00.0,1
10292,1996-08-28 00:00:00.0,1
10566,1997-06-12 00:00:00.0,1
10940,1998-03-11 00:00:00.0,1
10641,1997-08-22 00:00:00.0,1
11060,1998-04-30 00:00:00.0,1
10453,1997-02-21 00:00:00.0,1
10347,1996-11-06 00:00:00.0,1
10730,1997-11-05 00:00:00.0,1
10831,1998-01-14 00:00:00.0,1
10324,1996-10-08 00:00:00.0,1
10731,1997-11-06 00:00:00.0,1
10258,1996-07-17 00:00:00.0,1
10568,1997-06-13 00:00:00.0,1
10833,1998-01-15 00:00:00.0,1
10944,1998-03-12 00:00:00.0,1
10506,1997-04-15 00:00:00.0,1
10733,1997-11-07 00:00:00.0,1
10348,1996-11-07 00:00:00.0,1
10645,1997-08-26 00:00:00.0,1
10282,1996-08-15 00:00:00.0,1
10570,1997-06-17 00:00:00.0,1
10325,1996-10-09 00:00:00.0,1
10646,1997-08-27 00:00:00.0,1
10947,1998-03-13 00:00:00.0,1
10836,1998-01-16 00:00:00.0,1
10413,1997-01-14 00:00:00.0,1
10456,1997-02-25 00:00:00.0,1
10508,1997-04-16 00:00:00.0,1
10736,1997-11-11 00:00:00.0,1
10307,1996-09-17 00:00:00.0,1
10378,1996-12-10 00:00:00.0,1
10349,1996-11-08 00:00:00.0,1
10572,1997-06-18 00:00:00.0,1
10648,1997-08-28 00:00:00.0,1
10509,1997-04-17 00:00:00.0,1
10293,1996-08-29 00:00:00.0,1
10738,1997-11-12 00:00:00.0,1
10573,1997-06-19 00:00:00.0,1
10379,1996-12-11 00:00:00.0,1
10510,1997-04-18 00:00:00.0,1
10326,1996-10-10 00:00:00.0,1
10841,1998-01-20 00:00:00.0,1
10650,1997-08-29 00:00:00.0,1
10458,1997-02-26 00:00:00.0,1
10740,1997-11-13 00:00:00.0,1
10415,1997-01-15 00:00:00.0,1
10954,1998-03-17 00:00:00.0,1
10741,1997-11-14 00:00:00.0,1
10843,1998-01-21 00:00:00.0,1
10274,1996-08-06 00:00:00.0,1
10575,1997-06-20 00:00:00.0,1
10459,1997-02-27 00:00:00.0,1
10380,1996-12-12 00:00:00.0,1
10416,1997-01-16 00:00:00.0,1
10957,1998-03-18 00:00:00.0,1
10653,1997-09-02 00:00:00.0,1
10308,1996-09-18 00:00:00.0,1
10460,1997-02-28 00:00:00.0,1
10846,1998-01-22 00:00:00.0,1
10513,1997-04-22 00:00:00.0,1
10255,1996-07-12 00:00:00.0,1
10327,1996-10-11 00:00:00.0,1
10294,1996-08-30 00:00:00.0,1
10745,1997-11-18 00:00:00.0,1
10578,1997-06-24 00:00:00.0,1
10655,1997-09-03 00:00:00.0,1
10960,1998-03-19 00:00:00.0,1
10848,1998-01-23 00:00:00.0,1
10283,1996-08-16 00:00:00.0,1
10746,1997-11-19 00:00:00.0,1
10309,1996-09-19 00:00:00.0,1
10352,1996-11-12 00:00:00.0,1
10656,1997-09-04 00:00:00.0,1
10579,1997-06-25 00:00:00.0,1
10418,1997-01-17 00:00:00.0,1
10515,1997-04-23 00:00:00.0,1
10748,1997-11-20 00:00:00.0,1
10580,1997-06-26 00:00:00.0,1
10382,1996-12-13 00:00:00.0,1
10964,1998-03-20 00:00:00.0,1
10658,1997-09-05 00:00:00.0,1
10516,1997-04-24 00:00:00.0,1
11074,1998-05-06 00:00:00.0,1
10463,1997-03-04 00:00:00.0,1
10750,1997-11-21 00:00:00.0,1
11077,1998-05-06 00:00:00.0,0
10248,1996-07-04 00:00:00.0,0
10248,1996-07-04 00:00:00.0,0
10248,1996-07-04 00:00:00.0,0
10249,1996-07-05 00:00:00.0,0
10249,1996-07-05 00:00:00.0,0
10249,1996-07-05 00:00:00.0,0
10250,1996-07-08 00:00:00.0,0
10250,1996-07-08 00:00:00.0,0
10250,1996-07-08 00:00:00.0,0
10251,1996-07-08 00:00:00.0,0
10251,1996-07-08 00:00:00.0,0
10251,1996-07-08 00:00:00.0,0
10251,1996-07-08 00:00:00.0,0
10252,1996-07-09 00:00:00.0,0
10252,1996-07-09 00:00:00.0,0
10252,1996-07-09 00:00:00.0,0
10253,1996-07-10 00:00:00.0,0
10253,1996-07-10 00:00:00.0,0
10253,1996-07-10 00:00:00.0,0
10254,1996-07-11 00:00:00.0,0
10254,1996-07-11 00:00:00.0,0
10254,1996-07-11 00:00:00.0,0
10255,1996-07-12 00:00:00.0,0
10255,1996-07-12 00:00:00.0,0
10255,1996-07-12 00:00:00.0,0
10256,1996-07-15 00:00:00.0,0
10256,1996-07-15 00:00:00.0,0
10256,1996-07-15 00:00:00.0,0
10257,1996-07-16 00:00:00.0,0
10257,1996-07-16 00:00:00.0,0
10257,1996-07-16 00:00:00.0,0
10258,1996-07-17 00:00:00.0,0
10258,1996-07-17 00:00:00.0,0
10258,1996-07-17 00:00:00.0,0
10259,1996-07-18 00:00:00.0,0
10259,1996-07-18 00:00:00.0,0
10259,1996-07-18 00:00:00.0,0
10260,1996-07-19 00:00:00.0,0
10260,1996-07-19 00:00:00.0,0
10260,1996-07-19 00:00:00.0,0
10261,1996-07-19 00:00:00.0,0
10261,1996-07-19 00:00:00.0,0
10261,1996-07-19 00:00:00.0,0
10261,1996-07-19 00:00:00.0,0
10262,1996-07-22 00:00:00.0,0
10262,1996-07-22 00:00:00.0,0
10262,1996-07-22 00:00:00.0,0
10263,1996-07-23 00:00:00.0,0
10263,1996-07-23 00:00:00.0,0
10263,1996-07-23 00:00:00.0,0
10264,1996-07-24 00:00:00.0,0
10264,1996-07-24 00:00:00.0,0
10264,1996-07-24 00:00:00.0,0
10265,1996-07-25 00:00:00.0,0
10265,1996-07-25 00:00:00.0,0
10265,1996-07-25 00:00:00.0,0
10266,1996-07-26 00:00:00.0,0
10266,1996-07-26 00:00:00.0,0
10266,1996-07-26 00:00:00.0,0
10267,1996-07-29 00:00:00.0,0
10267,1996-07-29 00:00:00.0,0
10267,1996-07-29 00:00:00.0,0
10268,1996-07-30 00:00:00.0,0
10268,1996-07-30 00:00:00.0,0
10268,1996-07-30 00:00:00.0,0
10269,1996-07-31 00:00:00.0,0
10269,1996-07-31 00:00:00.0,0
10269,1996-07-31 00:00:00.0,0
10270,1996-08-01 00:00:00.0,0
10270,1996-08-01 00:00:00.0,0
10270,1996-08-01 00:00:00.0,0
10271,1996-08-01 00:00:00.0,0
10271,1996-08-01 00:00:00.0,0
10271,1996-08-01 00:00:00.0,0
10271,1996-08-01 00:00:00.0,0
10272,1996-08-02 00:00:00.0,0
10272,1996-08-02 00:00:00.0,0
10272,1996-08-02 00:00:00.0,0
10273,1996-08-05 00:00:00.0,0
10273,1996-08-05 00:00:00.0,0
10273,1996-08-05 00:00:00.0,0
10274,1996-08-06 00:00:00.0,0
10274,1996-08-06 00:00:00.0,0
10274,1996-08-06 00:00:00.0,0
10275,1996-08-07 00:00:00.0,0
10275,1996-08-07 00:00:00.0,0
10275,1996-08-07 00:00:00.0,0
10276,1996-08-08 00:00:00.0,0
10276,1996-08-08 00:00:00.0,0
10276,1996-08-08 00:00:00.0,0
10277,1996-08-09 00:00:00.0,0
10277,1996-08-09 00:00:00.0,0
10277,1996-08-09 00:00:00.0,0
10278,1996-08-12 00:00:00.0,0
10278,1996-08-12 00:00:00.0,0
10278,1996-08-12 00:00:00.0,0
10279,1996-08-13 00:00:00.0,0
10279,1996-08-13 00:00:00.0,0
10279,1996-08-13 00:00:00.0,0
10280,1996-08-14 00:00:00.0,0
10280,1996-08-14 00:00:00.0,0
10280,1996-08-14 00:00:00.0,0
10281,1996-08-14 00:00:00.0,0
10281,1996-08-14 00:00:00.0,0
10281,1996-08-14 00:00:00.0,0
10281,1996-08-14 00:00:00.0,0
10282,1996-08-15 00:00:00.0,0
10282,1996-08-15 00:00:00.0,0
10282,1996-08-15 00:00:00.0,0
10283,1996-08-16 00:00:00.0,0
10283,1996-08-16 00:00:00.0,0
10283,1996-08-16 00:00:00.0,0
10284,1996-08-19 00:00:00.0,0
10284,1996-08-19 00:00:00.0,0
10284,1996-08-19 00:00:00.0,0
10285,1996-08-20 00:00:00.0,0
10285,1996-08-20 00:00:00.0,0
10285,1996-08-20 00:00:00.0,0
10286,1996-08-21 00:00:00.0,0
10286,1996-08-21 00:00:00.0,0
10286,1996-08-21 00:00:00.0,0
10287,1996-08-22 00:00:00.0,0
10287,1996-08-22 00:00:00.0,0
10287,1996-08-22 00:00:00.0,0
10288,1996-08-23 00:00:00.0,0
10288,1996-08-23 00:00:00.0,0
10288,1996-08-23 00:00:00.0,0
10289,1996-08-26 00:00:00.0,0
10289,1996-08-26 00:00:00.0,0
10289,1996-08-26 00:00:00.0,0
10290,1996-08-27 00:00:00.0,0
10290,1996-08-27 00:00:00.0,0
10290,1996-08-27 00:00:00.0,0
10291,1996-08-27 00:00:00.0,0
10291,1996-08-27 00:00:00.0,0
10291,1996-08-27 00:00:00.0,0
10291,1996-08-27 00:00:00.0,0
10292,1996-08-28 00:00:00.0,0
10292,1996-08-28 00:00:00.0,0
10292,1996-08-28 00:00:00.0,0
10293,1996-08-29 00:00:00.0,0
10293,1996-08-29 00:00:00.0,0
10293,1996-08-29 00:00:00.0,0
10294,1996-08-30 00:00:00.0,0
10294,1996-08-30 00:00:00.0,0
10294,1996-08-30 00:00:00.0,0
10295,1996-09-02 00:00:00.0,0
10295,1996-09-02 00:00:00.0,0
10295,1996-09-02 00:00:00.0,0
10296,1996-09-03 00:00:00.0,0
10296,1996-09-03 00:00:00.0,0
10296,1996-09-03 00:00:00.0,0
10297,1996-09-04 00:00:00.0,0
10297,1996-09-04 00:00:00.0,0
10297,1996-09-04 00:00:00.0,0
10298,1996-09-05 00:00:00.0,0
10298,1996-09-05 00:00:00.0,0
10298,1996-09-05 00:00:00.0,0
10299,1996-09-06 00:00:00.0,0
10299,1996-09-06 00:00:00.0,0
10299,1996-09-06 00:00:00.0,0
10300,1996-09-09 00:00:00.0,0
10300,1996-09-09 00:00:00.0,0
10300,1996-09-09 00:00:00.0,0
10301,1996-09-09 00:00:00.0,0
10301,1996-09-09 00:00:00.0,0
10301,1996-09-09 00:00:00.0,0
10301,1996-09-09 00:00:00.0,0
10302,1996-09-10 00:00:00.0,0
10302,1996-09-10 00:00:00.0,0
10302,1996-09-10 00:00:00.0,0
10303,1996-09-11 00:00:00.0,0
10303,1996-09-11 00:00:00.0,0
10303,1996-09-11 00:00:00.0,0
10304,1996-09-12 00:00:00.0,0
10304,1996-09-12 00:00:00.0,0
10304,1996-09-12 00:00:00.0,0
10305,1996-09-13 00:00:00.0,0
10305,1996-09-13 00:00:00.0,0
10305,1996-09-13 00:00:00.0,0
10306,1996-09-16 00:00:00.0,0
10306,1996-09-16 00:00:00.0,0
10306,1996-09-16 00:00:00.0,0
10307,1996-09-17 00:00:00.0,0
10307,1996-09-17 00:00:00.0,0
10307,1996-09-17 00:00:00.0,0
10308,1996-09-18 00:00:00.0,0
10308,1996-09-18 00:00:00.0,0
10308,1996-09-18 00:00:00.0,0
10309,1996-09-19 00:00:00.0,0
10309,1996-09-19 00:00:00.0,0
10309,1996-09-19 00:00:00.0,0
10310,1996-09-20 00:00:00.0,0
10310,1996-09-20 00:00:00.0,0
10310,1996-09-20 00:00:00.0,0
10311,1996-09-20 00:00:00.0,0
10311,1996-09-20 00:00:00.0,0
10311,1996-09-20 00:00:00.0,0
10311,1996-09-20 00:00:00.0,0
10312,1996-09-23 00:00:00.0,0
10312,1996-09-23 00:00:00.0,0
10312,1996-09-23 00:00:00.0,0
10313,1996-09-24 00:00:00.0,0
10313,1996-09-24 00:00:00.0,0
10313,1996-09-24 00:00:00.0,0
10314,1996-09-25 00:00:00.0,0
10314,1996-09-25 00:00:00.0,0
10314,1996-09-25 00:00:00.0,0
10315,1996-09-26 00:00:00.0,0
10315,1996-09-26 00:00:00.0,0
10315,1996-09-26 00:00:00.0,0
10316,1996-09-27 00:00:00.0,0
10316,1996-09-27 00:00:00.0,0
10316,1996-09-27 00:00:00.0,0
10317,1996-09-30 00:00:00.0,0
10317,1996-09-30 00:00:00.0,0
10317,1996-09-30 00:00:00.0,0
10318,1996-10-01 00:00:00.0,0
